Title,Company,Experience,Salary,Location,Skills,Link
Dot Net Developer,Polestar Consulting,4-6 Yrs,Not disclosed,"Navi Mumbai, Mumbai (All Areas)","C#, .Net Core, Asp.Net Core, .Net, ASP.Net, DoT, Core, Development",https://www.naukri.com/job-listings-dot-net-developer-polestar-consulting-navi-mumbai-mumbai-all-areas-4-to-6-years-180325020290
Dcs Operator,Aarvi Encon Limited,1-4 Yrs,Not disclosed,"Mumbai(Ambernath +9), Mumbai Suburban, Navi Mumbai","Yokogawa, DCS, Safety, Control System, SCADA, Distillation, Control Room Operation, DCS Operation",https://www.naukri.com/job-listings-dcs-operator-aarvi-encon-mumbai-mumbai-suburban-navi-mumbai-1-to-4-years-200325007981
Sr . Manager - Talent Acquisition,Glenmark Pharmaceuticals,8-13 Yrs,Not disclosed,Mumbai,"Manager Talent Acquisition, Interpersonal skills, Talent acquisition, Campus recruitment, Market intelligence, HR, Research, Stakeholder management",https://www.naukri.com/job-listings-sr-manager-talent-acquisition-glenmark-pharmaceuticals-ltd-mumbai-8-to-13-years-080124500363
Manager Sales,METTLER TOLEDO,10-12 Yrs,Not disclosed,Mumbai,"Technical writing, Project management, Analytical, Production engineering, Schema, Javascript, Agile, Medical insurance",https://www.naukri.com/job-listings-manager-sales-turing-softwares-a-unit-of-mettler-toledo-india-pvt-ltd-mumbai-10-to-12-years-100125500879
ENGINEERING DRAFTSMAN,Enviro Geosynthetics,2-6 Yrs,Not disclosed,Gurugram,"3d modeling, project management, mechanical engineering, production, engineering, autocad, design engineering, catia",https://www.naukri.com/job-listings-engineering-draftsman-enviro-geosynthetics-private-limited-gurugram-2-to-6-years-040624501640
Tech Prof-Cementing,Halliburton,3-5 Yrs,Not disclosed,Mumbai,"Drilling, Job analysis, Publishing, Product service, Manager Technology, Performance optimization, Cost estimation, Operations",https://www.naukri.com/job-listings-tech-prof-cementing-halliburton-corp-mumbai-3-to-5-years-050325502912
Tech Prof-Cementing,Halliburton,3-5 Yrs,Not disclosed,Mumbai,"Drilling, Job analysis, Publishing, Product service, Manager Technology, Performance optimization, Cost estimation, Operations",https://www.naukri.com/job-listings-tech-prof-cementing-halliburton-mumbai-3-to-5-years-050325504814
Piping Stress Engineer,Worleyparsons,8-15 Yrs,Not disclosed,Kolkata,"Analytical skills, remediation, Piping stress analysis, Chemical, HP data protector, Production engineering, Consulting, Mechanical",https://www.naukri.com/job-listings-piping-stress-engineer-worley-kolkata-8-to-15-years-050325504023
Autodesk(BIM) Professional,Mechispike Solutions,8-12 Yrs,Not disclosed,Mumbai,"3D modeling, Automation, AutoCAD, Production engineering, CAD, Bim, Packaging, REVIT",https://www.naukri.com/job-listings-autodesk-bim-professional-mechispike-solutions-mumbai-8-to-12-years-050325501525
Client Servicing,Green Chili,3-8 Yrs,Not disclosed,Mumbai,"Social media marketing, Stakeholder Engagement, Manager Client Servicing, Brand activation, Brand management, Employee engagement, Management, Digital marketing",https://www.naukri.com/job-listings-client-servicing-green-chili-mumbai-3-to-8-years-130618500211
Junior Engineer,Notch India Projects,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","quality control, mechanical engineering, production, maintenance engineering, engineering, autocad, kaizen, manpower handling",https://www.naukri.com/job-listings-junior-engineer-notch-india-projects-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-171024501906
Senior VP Talent acquisition head,Black Turtle,15-20 Yrs,Not disclosed,"Mumbai, New Delhi, Pune, Jaipur, Bengaluru","Head Business Development, Talent acquisition, Senior, Acquisition, Business development, Development, Heading, VP",https://www.naukri.com/job-listings-senior-vp-talent-acquisition-head-black-turtle-india-pvt-ltd-mumbai-new-delhi-pune-jaipur-bengaluru-15-to-20-years-260325503905
Engineer L3,IBS Software Services,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","new projects, project management, mechanical engineering, production, engineering, marine engineering, new product development, budgeting",https://www.naukri.com/job-listings-engineer-l3-ibs-software-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-8-years-101224501490
Production Assistant,Special Instruments Consortium,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","quality control, mechanical engineering, production, equipment, production department, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-assistant-special-instruments-consortium-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-221024501737
Talent Acquisition Partner,Wartsila,10-20 Yrs,Not disclosed,"Mumbai, Navi Mumbai","Interpersonal skills, SAP, Excel, Talent acquisition, Talent sourcing, Stakeholder management, Continuous improvement, IT recruitment",https://www.naukri.com/job-listings-talent-acquisition-partner-wartsila-india-ltd-mumbai-navi-mumbai-10-to-20-years-030624502954
Software Engineer (Backend Developer),Humanetics Innovative,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Object oriented design, Backend, Automation, RDBMS, Javascript, Data structures, Instrumentation, Monitoring",https://www.naukri.com/job-listings-software-engineer-backend-developer-humanetics-group-humanetics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-170124502018
Dot Net Full Stack,Krazy Mantra It,1-4 Yrs,Not disclosed,"Hyderabad, Pune, Chennai, Bengaluru","GIT, Web technologies, C, PAAS, OOPS, Entity framework, SQL, microservices",https://www.naukri.com/job-listings-dot-net-full-stack-krazy-mantra-group-of-companies-hyderabad-pune-chennai-bengaluru-1-to-4-years-210125505651
Software Architect - India Operations,TIE-UPS,6-10 Yrs,15-20 Lacs PA,"Hyderabad, Pune, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)","Java development, Full Stack, Software architecture, Ui/Ux, Ux Design, Dot net, Azure, python",https://www.naukri.com/job-listings-software-architect-india-operations-tie-ups-hyderabad-pune-chennai-bengaluru-delhi-ncr-mumbai-all-areas-6-to-10-years-020425009055
Dot Net Developer,Irisidea,5-8 Yrs,Not disclosed,"Kolkata, Hyderabad, Pune, Bengaluru","SAP, Consulting, Agile, Unit testing, Apache, Data mining, Analytics, SQL",https://www.naukri.com/job-listings-dot-net-developer-irisidea-technologies-kolkata-hyderabad-pune-bengaluru-5-to-8-years-160623500321
